isColor,director_name,num_critic_for_reviews,duration,actor1_facebook_likes,gross,actor_1_name,movie_title,num_voted_users,facenumber_in_poster,isInUSA,country,content_rating,budget,title_year,imdb_score,aspect_ratio
bool,String,int,int,int,double,String,String,int,int,bool,String,String,double,int,double,double
TRUE,James_Cameron,723,178,1000,760505847,CCH_Pounder,Avatar,886204,0,TRUE,USA,PG-13,237000000,2009,7.9,1.78
TRUE,Gore_Verbinski,302,169,40000,309404152,Johnny_Depp,Pirates_of_the_Caribbean_At_World's_End,471220,0,TRUE,USA,PG-13,300000000,2007,7.1,2.35
TRUE,Sam_Mendes,602,148,11000,200074175,Christoph_Waltz,Spectre,275868,1,TRUE,UK,PG-13,245000000,2015,6.8,2.35
TRUE,Christopher_Nolan,813,164,27000,448130642,Tom_Hardy,The_Dark_Knight_Rises,1144337,0,TRUE,USA,PG-13,250000000,2012,8.5,2.35
TRUE,Andrew_Stanton,462,132,640,73058679,Daryl_Sabara,John_Carter,212204,1,TRUE,USA,PG-13,263700000,2012,6.6,2.35
TRUE,Sam_Raimi,392,156,24000,336530303,J.K._Simmons,Spider-Man_3,383056,0,TRUE,USA,PG-13,258000000,2007,6.2,2.35
TRUE,Nathan_Greno,324,100,799,200807262,Brad_Garrett,Tangled,294810,1,TRUE,USA,PG,260000000,2010,7.8,1.85
TRUE,Joss_Whedon,635,141,26000,458991599,Chris_Hemsworth,Avengers_Age_of_Ultron,462669,4,TRUE,USA,PG-13,250000000,2015,7.5,2.35
TRUE,David_Yates,375,153,25000,301956980,Alan_Rickman,Harry_Potter_and_the_Half-Blood_Prince,321795,3,TRUE,UK,PG,250000000,2009,7.5,2.35
TRUE,Zack_Snyder,673,183,15000,330249062,Henry_Cavill,Batman_v_Superman_Dawn_of_Justice,371639,0,TRUE,USA,PG-13,250000000,2016,6.9,2.35
TRUE,Bryan_Singer,434,169,18000,200069408,Kevin_Spacey,Superman_Returns,240396,0,TRUE,USA,PG-13,209000000,2006,6.1,2.35
TRUE,Marc_Forster,403,106,451,168368427,Giancarlo_Giannini,Quantum_of_Solace,330784,1,TRUE,UK,PG-13,200000000,2008,6.7,2.35
TRUE,Gore_Verbinski,313,151,40000,423032628,Johnny_Depp,Pirates_of_the_Caribbean_Dead_Man's_Chest,522040,2,TRUE,USA,PG-13,225000000,2006,7.3,2.35
TRUE,Gore_Verbinski,450,150,40000,89289910,Johnny_Depp,The_Lone_Ranger,181792,1,TRUE,USA,PG-13,215000000,2013,6.5,2.35
TRUE,Zack_Snyder,733,143,15000,291021565,Henry_Cavill,Man_of_Steel,548573,0,TRUE,USA,PG-13,225000000,2013,7.2,2.35
TRUE,Andrew_Adamson,258,150,22000,141614023,Peter_Dinklage,The_Chronicles_of_Narnia_Prince_Caspian,149922,4,TRUE,USA,PG,225000000,2008,6.6,2.35
TRUE,Joss_Whedon,703,173,26000,623279547,Chris_Hemsworth,The_Avengers,995415,3,TRUE,USA,PG-13,220000000,2012,8.1,1.85
TRUE,Rob_Marshall,448,136,40000,241063875,Johnny_Depp,Pirates_of_the_Caribbean_On_Stranger_Tides,370704,4,TRUE,USA,PG-13,250000000,2011,6.7,2.35
TRUE,Barry_Sonnenfeld,451,106,10000,179020854,Will_Smith,Men_in_Black_3,268154,1,TRUE,USA,PG-13,225000000,2012,6.8,1.85
